,Container_ID,Cre,Area,Depth,Target,Mouse_ID,Tissue_Cyte_QC,Drifting_Gratings_Grid_Session_ID,Drifting_Gratings_Grid_Expt_ID,Center_Surround_Session_ID,Center_Surround_Expt_ID,Size_Tuning_Session_ID,Size_Tuning_Expt_ID
0,1,Sst:Ai148,VISp,300,soma,508764,,1024232110,,1024382353,,1024539992,
1,2,Sst:Ai148,VISp,190,soma,508764,,1023133509,,1023288724,,1023599770,
2,3,Sst:Ai148,VISp,240,soma,508764,,1023602519,,1024028357,,1024537574,
3,4,Sst:Ai148,VISp,150,soma,508037,,1010258937,1010159863,1010535819,1010368135,1010816004,1010655779
4,5,Sst:Ai148,VISp,200,soma,508037,,1012467121,1011964402,1013205924,1013163234,1012749575,1012676879
5,6,Sst:Ai148,VISp,300,soma,508037,,1012921004,1012821793,1012935155,1012847933,1013200728,1013143218
6,7,Sst:Ai148,VISp,195,soma,503936,,1010262112,1010180690,1010541402,1010436210,1011966947,1010708184
7,8,Sst:Ai148,VISp,250,soma,503936,,1011752978,1011614103,1012112434,1011892173,1013203095,1013152955
8,9,Sst:Ai148,VISp,300,soma,503936,,1012928315,1012837101,1012941148,1012864690,1013069741,1013006030
9,10,Sst:Ai148,VISp,25,dendrites,500316,good,,,1006270861,1006077622,,
10,11,Sst:Ai148,VISp,265,soma,500316,good,1002000412,1001704512,1003118587,1002937736,,
11,12,Sst:Ai148,VISp,100,soma,500316,good,1003435709,1003203353,1004887216,1004747593,1004130666,1003859716
12,13,Sst:Ai148,VISp,330,soma,500316,good,1005121163,1004959821,1005296556,1005201417,1005508640,1005372777
13,14,Sst:Ai148,VISp,190,soma,500315,,1007099862,1006369330,1006816128,1006636506,1007370148,1006963128
14,15,Sst:Ai148,VISp,250,soma,500315,,1005123064,1004976102,1010810531,1010686440,1005510617,1005390711
15,16,Sst:Ai148,VISp,320,soma,500315,,,,,,,
16,17,Cux2:Ai93,VISp,25,dendrites,494726,good,,,993597596,993524441,,
17,18,Cux2:Ai93,VISp,165,soma,494726,good,992583659,992420138,993351998,993269234,,
18,19,Cux2:Ai93,VISal,190,soma,494726,good,995444668,995309142,995623506,995545810,995625393,995571612
19,20,Cux2:Ai93,VISl,165,soma,494726,good,993865990,993783505,994062614,993994146,995381049,994700707
20,21,Cux2:Ai93,VISal,175,soma,493546,poor,995379090,994685377,995379658,994865495,995439967,995310916
21,22,Cux2:Ai93,VISl,175,soma,493546,poor,993590489,993436422,993859734,993675703,994052435,993940047
22,23,Cux2:Ai93,VISp,175,soma,493546,poor,992564710,992379703,992869432,992698474,,
23,24,Cux2:Ai93,VISp,25,dendrites,493546,poor,,,995382223,995063232,,
24,25,Rbp4:Ai93,VISp,405,soma,492591,poor,991005821,990571084,991010060,990815631,,
25,26,Rbp4:Ai93,VISl,475,soma,492591,poor,992058916,991991679,992581120,992419828,994061681,993983828
26,27,Rbp4:Ai93,VISp,20,dendrites,492591,poor,,,995380374,995152465,,
27,28,Rbp4:Ai93,VISal,475,soma,492591,poor,993596185,993528008,993865491,993777805,995379669,994901365
28,29,Rbp4:Ai93,VISl,395,soma,492586,good,992869952,992681239,993343847,993230912,993590998,993423453
29,30,Rbp4:Ai93,VISal,375,soma,492586,good,995452371,995334172,994052930,993944623,995076424,994140921
30,31,Rbp4:Ai93,VISp,25,dendrites,492586,good,,,995391751,995068994,,
31,32,Rbp4:Ai93,VISp,375,soma,492586,good,992057488,991925053,992298635,992260410,,
32,33,Rbp4:Ai93,VISp,360,soma,491499,poor,990380828,990243255,991003870,990548570,,
33,34,Rbp4:Ai93,VISl,375,soma,491499,poor,992568154,992397369,993343853,993256153,994056264,993959387
34,35,Rbp4:Ai93,VISal,375,soma,491499,poor,993861634,993730970,995392279,994732235,995280523,994883279
35,36,Rbp4:Ai93,VISp,20,dendrites,491499,poor,,,995392847,995111633,,
36,37,Rbp4:Ai93,VISp,25,dendrites,490514,bad,,,992296227,,,
37,38,Rbp4:Ai93,VISal,485,soma,490514,bad,993593385,993503680,,,994057210,993960716
38,39,Rbp4:Ai93,VISl,475,soma,490514,bad,992581132,992391302,992871893,992742223,993348236,993257072
39,40,Rbp4:Ai93,VISp,390,soma,490514,bad,990662669,990483042,992059881,991976591,,
40,41,Rbp4:Ai93,VISp,25,dendrites,489030,good,,,979669010,979190955,,
41,42,Rbp4:Ai93,VISp,375,soma,489030,good,978250857,978137213,978827354,978322303,982864142,982556851
42,43,Rbp4:Ai93,VISl,375,soma,489030,good,980673797,979771466,982195783,981714380,,
43,44,Rbp4:Ai93,VISal,375,soma,489030,good,986402291,985805635,987262402,986765043,989186401,988762995
44,45,Cux2:Ai93,VISl,175,soma,488887,bad,975540302,975348996,976255390,976085882,977136616,976843461
45,46,Cux2:Ai93,VISal,175,soma,488887,bad,977939140,977834312,978252960,978206308,978829854,978722526
46,47,Cux2:Ai93,VISp,175,soma,488887,bad,973927351,973729451,974377783,974290613,,
47,48,Cux2:Ai93,VISp,40,dendrites,488887,bad,,,979669644,979392050,,
48,49,Cux2:Ai93,VISl,175,soma,488340,good,976253400,975925319,977125379,976474801,977935034,977284588
49,50,Cux2:Ai93,VISal,175,soma,488340,good,978246720,978041902,979668392,979264183,982171450,981633686
50,51,Cux2:Ai93,VISp,25,dendrites,488340,good,,,992296234,992205981,,
51,52,Cux2:Ai93,VISp,175,soma,488340,good,989191391,988763069,989581742,989418742,,
